pct,chemical,chemical_code,total_items,total_tabs_caps
01X,Rivaroxaban,0208020Y0,7747,235211
01G,Linagliptin,0601023AE,11977,235153
04Y,Sitagliptin,0601023X0,6575,235135
04V,Bisacodyl,0106020C0,4817,235102
00Q,Sulfasalazine,0105010E0,1822,235094
03L,Verapamil Hydrochloride,0206020T0,4795,235087
03F,Cyclizine Hydrochloride,0406000F0,4847,235079
15D,Lercanidipine Hydrochloride,0206020L0,5776,235064
09L,Topiramate,040801050,3651,235057
09W,Co-Beneldopa (Benserazide/Levodopa),0409010K0,2531,234944
07K,Clonazepam,0408010F0,5603,234914
06N,Aripiprazole,0402010AD,10034,234900
15N,Valsartan,0205052V0,5458,234897
12D,Clonidine Hydrochloride,0407042F0,1986,234840
06N,Carvedilol,020400080,4236,234818
01V,Sulfasalazine,0105010E0,1817,234780
13T,Tranexamic Acid,0211000P0,3646,234757
00R,Estradiol with Progestogen,0604011L0,2481,234737
06T,Bezafibrate,0212000D0,7541,234735
01H,Pantoprazole,0103050R0,6303,234734
07W,Duloxetine Hydrochloride,0403040Y0,8885,234685
09D,Topiramate,040801050,3943,234658
08V,Irbesartan,0205052I0,10118,234649
10D,Levetiracetam,0408010A0,3672,234646
01T,Estradiol with Progestogen,0604011L0,2671,234645
08W,Esomeprazole,0103050E0,4850,234616
08L,Spironolactone,0202030S0,5671,234549
02G,Hyoscine Butylbromide,0102000N0,2605,234523
01E,Ezetimibe,0212000L0,7679,234477
06Y,Carvedilol,020400080,5189,234471
07V,Pantoprazole,0103050R0,5407,234463
00T,Melatonin,0401010AD,4037,234432
07V,Peppermint Oil,0102000T0,2582,234392
11A,Lacidipine,0206020K0,5989,234387
08H,Isosorbide Mononitrate,0206010K0,5780,234386
05X,Topiramate,040801050,2668,234341
07V,Donepezil Hydrochloride,0411000D0,14076,234314
10L,Bumetanide,0202020D0,4879,234297
04Q,Oxycodone Hydrochloride,0407020AD,3788,234263
04D,Sotalol Hydrochloride,0204000T0,4120,234258
15N,Edoxaban,0208020AA,10216,234247
09E,Enalapril Maleate,0205051I0,4691,234243
09D,Donepezil Hydrochloride,0411000D0,15863,234240
07W,Topiramate,040801050,4388,234236
99F,Nortriptyline,0403010V0,3230,234235
08A,Digoxin,0201010F0,9613,234219
10R,Co-Beneldopa (Benserazide/Levodopa),0409010K0,2615,234203
09A,Docusate Sodium,0106020I0,5247,234202
04F,Trazodone Hydrochloride,0403010X0,6187,234188
10X,Lithium Carbonate,0402030K0,4852,234173
15N,Phenobarbital,0408010N0,3729,234150
10E,Pravastatin Sodium,0212000X0,6607,234112
12D,Spironolactone,0202030S0,10671,234049
06V,Lorazepam,0401020P0,8099,233996
03T,Dosulepin Hydrochloride,0403010J0,5788,233984
10J,Linagliptin,0601023AE,7919,233978
05R,Melatonin,0401010AD,5001,233978
05R,Bisacodyl,0106020C0,4764,233963
04C,Methylphenidate Hydrochloride,0404000M0,5929,233926
08V,Enalapril Maleate,0205051I0,7581,233842
03N,Fludrocortisone Acetate,0603010I0,9198,233763
00V,Nicorandil,0206030N0,3622,233722
00L,Clonidine Hydrochloride,0407042F0,2309,233700
08X,Topiramate,040801050,4364,233680
01K,Phenytoin Sodium,0408010Q0,3482,233565
01C,Sitagliptin,0601023X0,8041,233518
11A,Procyclidine Hydrochloride,0409020S0,4338,233475
06Y,Flecainide Acetate,0203020I0,3857,233362
03R,Ropinirole Hydrochloride,0409010H0,4336,233336
03H,Zopiclone,0401010Z0,12672,233328
06N,Levodopa/Carbidopa/Entacapone,0409010X0,3041,233319
01G,Paroxetine Hydrochloride,0403030P0,8564,233292
15E,Co-Amilofruse (Amiloride HCl/Frusemide),0202040B0,5555,233288
00Q,Enalapril Maleate,0205051I0,5789,233282
08P,Sulfasalazine,0105010E0,1809,233266
06H,Imipramine Hydrochloride,0403010N0,3320,233241
10X,Dapagliflozin,0601023AG,5891,233220
03F,Eplerenone,0202030X0,10855,233198
06Q,Dosulepin Hydrochloride,0403010J0,4686,233114
07K,Alogliptin,0601023AK,8716,233067
09F,Risperidone,040201030,5737,233067
06H,Ivabradine,0206030Y0,4941,233035
09F,Escitalopram,0403030X0,7543,232985
03T,Flecainide Acetate,0203020I0,3774,232978
08Q,Prochlorperazine Maleate,0406000T0,4852,232975
08D,Rosuvastatin Calcium,0212000AA,5982,232971
04K,Dosulepin Hydrochloride,0403010J0,3251,232875
00P,Bumetanide,0202020D0,6686,232868
07H,Topiramate,040801050,3336,232845
03E,Sulfasalazine,0105010E0,1988,232844
02X,Pizotifen Malate,0407042Q0,5371,232834
02Q,Finasteride,0604020C0,8089,232745
00M,Procyclidine Hydrochloride,0409020S0,6311,232742
11A,Pramipexole,0409010W0,4198,232731
07T,Diltiazem Hydrochloride,0206020C0,4431,232689
01E,Felodipine,0206020F0,6864,232684
00P,Dabigatran Etexilate,0208020X0,5744,232665
15A,Alendronic Acid,0606020A0,49013,232617
08Q,Pravastatin Sodium,0212000X0,7592,232593
01R,Enalapril Maleate,0205051I0,5181,232584
08G,Olanzapine,040201060,10603,232582
03M,Enalapril Maleate,0205051I0,5882,232540
02E,Bumetanide,0202020D0,4150,232443
99M,Empagliflozin,0601023AN,6085,232386
07Y,Prochlorperazine Maleate,0406000T0,5844,232384
08K,Irbesartan,0205052I0,7349,232370
06K,Aripiprazole,0402010AD,10038,232302
10Q,Linagliptin,0601023AE,10249,232296
08P,Betahistine Hydrochloride,0406000B0,3290,232257
09G,Lacidipine,0206020K0,5184,232255
09X,Oxycodone Hydrochloride,0407020AD,3805,232244
08Y,Diltiazem Hydrochloride,0206020C0,4664,232178
08L,Risperidone,040201030,5524,232135
14L,Donepezil Hydrochloride,0411000D0,11200,232132
00P,Escitalopram,0403030X0,10050,232070
06Q,Lacidipine,0206020K0,6366,231981
05A,Metoprolol Tartrate,0204000K0,5640,231977
10C,Estradiol with Progestogen,0604011L0,2451,231954
09A,Loperamide Hydrochloride,0104020L0,3264,231883
08J,Mebeverine Hydrochloride,0102000P0,3180,231883
01F,Prochlorperazine Maleate,0406000T0,4991,231844
02H,Verapamil Hydrochloride,0206020T0,4089,231840
00X,Nifedipine,0206020R0,4575,231835
09G,Pizotifen Malate,0407042Q0,3953,231815
06V,Prochlorperazine Maleate,0406000T0,5540,231785
06P,Loperamide Hydrochloride,0104020L0,3541,231736
09Y,Oxycodone Hydrochloride,0407020AD,4363,231729
01D,Risperidone,040201030,5876,231697
04M,Diazepam,0401020K0,7228,231686
04D,Donepezil Hydrochloride,0411000D0,13722,231681
07V,Clonidine Hydrochloride,0407042F0,2199,231674
05V,Sulfasalazine,0105010E0,1830,231652
04Q,Alogliptin,0601023AK,8886,231650
05T,Dosulepin Hydrochloride,0403010J0,5509,231623
07N,Enalapril Maleate,0205051I0,5078,231553
00T,Procyclidine Hydrochloride,0409020S0,6648,231551
04H,Esomeprazole,0103050E0,6193,231532
15M,Hydralazine Hydrochloride,0205010J0,3436,231520
06F,Carbimazole,0602020D0,4279,231517
02H,Alginic Acid Compound Preparations,0101021B0,2899,231501
09N,Estradiol,0604011G0,2565,231383
09E,Prochlorperazine Maleate,0406000T0,5201,231371
03W,Memantine Hydrochloride,0411000G0,10066,231343
12F,Nitrazepam,0401010R0,7410,231322
08G,Morphine Sulfate,0407020Q0,3871,231316
08F,Memantine Hydrochloride,0411000G0,11475,231315
09C,Co-Dydramol (Dihydrocodeine/Paracet),0407010N0,1980,231240
10Q,Melatonin,0401010AD,4645,231232
02W,Linagliptin,0601023AE,10242,231229
99A,Pizotifen Malate,0407042Q0,4947,231218
00K,Lacidipine,0206020K0,5753,231153
00T,Flecainide Acetate,0203020I0,2880,231133
03J,Escitalopram,0403030X0,6017,231003
08D,Ezetimibe,0212000L0,8433,230998
08N,Lercanidipine Hydrochloride,0206020L0,6140,230959
01Y,Ticagrelor,0209000Z0,3980,230945
02H,Estradiol,0604011G0,2843,230881
99A,Carbimazole,0602020D0,5040,230848
09N,Dihydrocodeine Tartrate,0407020G0,2460,230825
02A,Memantine Hydrochloride,0411000G0,13352,230715
03W,Carbimazole,0602020D0,5082,230704
99G,Nicorandil,0206030N0,3291,230700
09D,Peppermint Oil,0102000T0,3335,230693
00R,Peppermint Oil,0102000T0,2620,230591
03N,Norethisterone,0604012P0,4278,230590
04D,Linagliptin,0601023AE,12465,230532
03V,Hyoscine Butylbromide,0102000N0,2274,230483
07L,Sulfasalazine,0105010E0,2230,230475
06F,Ropinirole Hydrochloride,0409010H0,4311,230469
03J,Topiramate,040801050,3925,230447
08V,Diazepam,0401020K0,10453,230397
02G,Pravastatin Sodium,0212000X0,6707,230313
02G,Loperamide Hydrochloride,0104020L0,2571,230311
09W,Paroxetine Hydrochloride,0403030P0,6542,230285
00K,Phenytoin Sodium,0408010Q0,3342,230284
00M,Donepezil Hydrochloride,0411000D0,11471,230224
09N,Memantine Hydrochloride,0411000G0,8514,230220
03R,Phenytoin Sodium,0408010Q0,3757,230208
05L,Canagliflozin,0601023AM,6395,230180
08V,Nicorandil,0206030N0,8654,230150
03F,Irbesartan,0205052I0,8416,230070
07V,Verapamil Hydrochloride,0206020T0,3974,230043
09G,Estradiol Valerate,0604011K0,2689,230017
01K,Perindopril Erbumine,0205051M0,6414,229986
00T,Orlistat,0405010P0,2534,229897
01Y,Olanzapine,040201060,9845,229848
09X,Memantine Hydrochloride,0411000G0,6846,229841
07N,Nortriptyline,0403010V0,3497,229834
14Y,Levodopa/Carbidopa/Entacapone,0409010X0,1962,229760
07Q,Eplerenone,0202030X0,5900,229723
11M,Norethisterone,0604012P0,4408,229717
01R,Rosuvastatin Calcium,0212000AA,6314,229676
07R,Ezetimibe,0212000L0,4824,229662
08R,Dihydrocodeine Tartrate,0407020G0,2961,229625
05W,Acamprosate Calcium,0410010A0,1862,229601
02Q,Prochlorperazine Maleate,0406000T0,4151,229592
03K,Clonidine Hydrochloride,0407042F0,2018,229568
10K,Nebivolol,0204000AB,5832,229516
07W,Donepezil Hydrochloride,0411000D0,20826,229488
06L,Pioglitazone Hydrochloride,0601023B0,7322,229423
00D,Ticagrelor,0209000Z0,5166,229221
00D,Donepezil Hydrochloride,0411000D0,16687,229211
01C,Nifedipine,0206020R0,5312,229147
07X,Topiramate,040801050,3320,229144
00X,Ezetimibe,0212000L0,6785,229117
04Q,Perindopril Erbumine,0205051M0,8114,229082
11N,Edoxaban,0208020AA,9315,229076
06A,Procyclidine Hydrochloride,0409020S0,8333,229070
08K,Topiramate,040801050,4235,229046
00Y,Procyclidine Hydrochloride,0409020S0,4984,228976
15E,Rabeprazole Sodium,0103050T0,4943,228974
11J,Lacidipine,0206020K0,5934,228970
06P,Melatonin,0401010AD,4127,228969
01K,Memantine Hydrochloride,0411000G0,8440,228964
10A,Verapamil Hydrochloride,0206020T0,3573,228934
99A,Haloperidol,0402010J0,4795,228821
06M,Peppermint Oil,0102000T0,2556,228819
07W,Ticagrelor,0209000Z0,4501,228794
06D,Docusate Sodium,0106020I0,3855,228793
05J,Irbesartan,0205052I0,4609,228784
00R,Trazodone Hydrochloride,0403010X0,6204,228764
10Q,Pantoprazole,0103050R0,5694,228761
05Y,Cinnarizine,0406000D0,2597,228726
03M,Pravastatin Sodium,0212000X0,8171,228719
10K,Risperidone,040201030,5255,228695
05F,Prochlorperazine Maleate,0406000T0,5698,228695
09E,Olanzapine,040201060,7277,228693
05C,Moxonidine,0205020M0,4313,228678
02T,Alogliptin,0601023AK,7375,228664
09C,Hyoscine Butylbromide,0102000N0,3019,228646
05R,Ivabradine,0206030Y0,4683,228635
00N,Melatonin,0401010AD,5360,228615
09W,Lercanidipine Hydrochloride,0206020L0,5672,228593
02T,Sulfasalazine,0105010E0,2005,228591
15N,Haloperidol,0402010J0,5035,228571
10K,Nicorandil,0206030N0,3136,228570
07G,Irbesartan,0205052I0,7262,228560
02R,Ropinirole Hydrochloride,0409010H0,5560,228513
99A,Dipyridamole,0209000L0,3303,228506
00M,Pramipexole,0409010W0,4547,228455
09F,Spironolactone,0202030S0,7007,228444
14Y,Temazepam,0401010T0,8892,228380
99H,Memantine Hydrochloride,0411000G0,8049,228357
03Q,Lithium Carbonate,0402030K0,6067,228343
03H,Spironolactone,0202030S0,9756,228203
07P,Dihydrocodeine Tartrate,0407020G0,3012,228156
02X,Dipyridamole,0209000L0,3437,228152
06L,Pizotifen Malate,0407042Q0,4624,228135
00Y,Ticagrelor,0209000Z0,3986,228092
05R,Enalapril Maleate,0205051I0,6865,228083
02X,Risperidone,040201030,5342,228040
09Y,Ursodeoxycholic Acid,0109010U0,1458,228000
04E,Digoxin,0201010F0,9712,227957
06V,Alverine Citrate,0102000A0,2666,227956
03N,Carvedilol,020400080,4962,227926
11M,Sumatriptan Succinate,0407041T0,23225,227873
01R,Co-Beneldopa (Benserazide/Levodopa),0409010K0,2583,227812
00C,Quetiapine,0402010AB,9273,227786
10K,Topiramate,040801050,2454,227752
07Y,Spironolactone,0202030S0,10482,227730
04F,Clonazepam,0408010F0,5031,227721
08N,Lacidipine,0206020K0,5426,227713
03D,Diazepam,0401020K0,8390,227669
06F,Irbesartan,0205052I0,5842,227632
10Q,Norethisterone,0604012P0,4048,227574
15A,Lorazepam,0401020P0,6851,227548
09C,Venlafaxine,0403040W0,6010,227517
13T,Alendronic Acid,0606020A0,46365,227507
02N,Spironolactone,0202030S0,8376,227463
06D,Pancreatin,0109040N0,829,227449
03N,Irbesartan,0205052I0,6927,227432
08H,Candesartan Cilexetil,0205052C0,4378,227430
08R,Betahistine Hydrochloride,0406000B0,3074,227349
04L,Zopiclone,0401010Z0,10602,227329
03L,Alverine Citrate,0102000A0,2580,227289
03Q,Orlistat,0405010P0,2574,227288
07L,Empagliflozin,0601023AN,7498,227282
04Q,Co-Careldopa (Carbidopa/Levodopa),0409010N0,2092,227281
01K,Lithium Carbonate,0402030K0,5445,227266
02A,Clonidine Hydrochloride,0407042F0,2098,227247
00J,Nortriptyline,0403010V0,4384,227229
06F,Alverine Citrate,0102000A0,2460,227225
05N,Irbesartan,0205052I0,5838,227193
09N,Linagliptin,0601023AE,6875,227181
05W,Clonidine Hydrochloride,0407042F0,1829,227166
05X,Finasteride,0604020C0,5741,227146
00M,Ursodeoxycholic Acid,0109010U0,2258,227146
08T,Pravastatin Sodium,0212000X0,7662,227068
08R,Bumetanide,0202020D0,7215,226940
00X,Digoxin,0201010F0,7467,226868
00J,Methylphenidate Hydrochloride,0404000M0,5645,226861
08V,Spironolactone,0202030S0,14698,226828
99M,Topiramate,040801050,3139,226816
11J,Dutasteride,0604020B0,7032,226803
03F,Paroxetine Hydrochloride,0403030P0,7962,226781
02X,Quetiapine,0402010AB,5785,226747
08T,Olanzapine,040201060,11244,226711
15D,Flecainide Acetate,0203020I0,2645,226699
10V,Donepezil Hydrochloride,0411000D0,8979,226637
02R,Enalapril Maleate,0205051I0,5315,226631
06M,Enalapril Maleate,0205051I0,4777,226601
01D,Enalapril Maleate,0205051I0,4291,226595
99N,Carvedilol,020400080,4167,226589
07M,Ticagrelor,0209000Z0,3375,226566
00X,Spironolactone,0202030S0,7938,226566
09D,Pantoprazole,0103050R0,5975,226541
02Y,Cyclizine Hydrochloride,0406000F0,4224,226529
01F,Pravastatin Sodium,0212000X0,6692,226522
04Q,Estradiol with Progestogen,0604011L0,2679,226516
08K,Tranexamic Acid,0211000P0,3211,226506
03H,Verapamil Hydrochloride,0206020T0,5352,226499
04G,Memantine Hydrochloride,0411000G0,8425,226491
01W,Olanzapine,040201060,11184,226481
03K,Empagliflozin,0601023AN,8603,226476
01T,Alverine Citrate,0102000A0,2683,226426
08W,Oxycodone Hydrochloride,0407020AD,3521,226365
15N,Desmopressin Acetate,0605020E0,3838,226305
03J,Ezetimibe,0212000L0,8168,226297
05A,Tranexamic Acid,0211000P0,3564,226247
99N,Temazepam,0401010T0,8386,226186
11N,Alverine Citrate,0102000A0,2491,226143
04K,Methylphenidate Hydrochloride,0404000M0,6592,226138
15C,Alogliptin,0601023AK,7265,226135
07N,Spironolactone,0202030S0,9128,226117
99K,Digoxin,0201010F0,8657,226111
07P,Aripiprazole,0402010AD,10223,226104
99A,Buprenorphine Hydrochloride,0410030A0,9072,226064
02M,Bumetanide,0202020D0,5401,226046
06P,Felodipine,0206020F0,4607,225997
11A,Carvedilol,020400080,3617,225991
07X,Procyclidine Hydrochloride,0409020S0,7099,225958
08Q,Ezetimibe,0212000L0,8098,225915
06P,Ivabradine,0206030Y0,3798,225885
09G,Oestrogens Conjugated,0604011P0,2519,225878
13T,Alginic Acid Compound Preparations,0101021B0,2863,225765
00J,Orlistat,0405010P0,2602,225750
12F,Lorazepam,0401020P0,7685,225745
06Y,Dosulepin Hydrochloride,0403010J0,4774,225740
05V,Topiramate,040801050,3050,225692
15A,Memantine Hydrochloride,0411000G0,8415,225656
06F,Dapagliflozin,0601023AG,6624,225651
99J,Amiodarone Hydrochloride,0203020D0,8546,225646
00K,Naftidrofuryl Oxalate,0206040AE,2402,225627
06V,Ezetimibe,0212000L0,8722,225617
07Y,Co-Beneldopa (Benserazide/Levodopa),0409010K0,3347,225594
01C,Dihydrocodeine Tartrate,0407020G0,2464,225556
01R,Prochlorperazine Maleate,0406000T0,4447,225497
99F,Dabigatran Etexilate,0208020X0,3116,225495
11N,Amiodarone Hydrochloride,0203020D0,7788,225467
06T,Ivabradine,0206030Y0,4467,225466
11J,Amisulpride,0402010A0,4502,225340
08Q,Rosuvastatin Calcium,0212000AA,6105,225257
03V,Sodium Valproate,0408010W0,3258,225248
05T,Ropinirole Hydrochloride,0409010H0,5998,225236
09J,Olmesartan Medoxomil,0205052B0,6856,225208
14Y,Tranexamic Acid,0211000P0,3585,225204
07W,Paroxetine Hydrochloride,0403030P0,7220,225167
09G,Carvedilol,020400080,4104,225119
99K,Lacidipine,0206020K0,6325,225052
08G,Hyoscine Butylbromide,0102000N0,3428,225030
04V,Pizotifen Malate,0407042Q0,4321,225016
03K,Estradiol with Progestogen,0604011L0,2723,225015
00V,Donepezil Hydrochloride,0411000D0,7664,224996
10L,Esomeprazole,0103050E0,5667,224970
06M,Verapamil Hydrochloride,0206020T0,3333,224968
02M,Peppermint Oil,0102000T0,2737,224966
09G,Ropinirole Hydrochloride,0409010H0,4081,224952
00Q,Ranolazine,0206030Z0,3717,224950
03N,Lofepramine Hydrochloride,0403010R0,3916,224891
06P,Bisacodyl,0106020C0,3777,224862
00T,Paroxetine Hydrochloride,0403030P0,6622,224851
15F,Norethisterone,0604012P0,4554,224807
00X,Zopiclone,0401010Z0,11139,224782
03N,Nortriptyline,0403010V0,3436,224719
03R,Metoclopramide Hydrochloride,0406000P0,3980,224710
15N,Hydralazine Hydrochloride,0205010J0,3541,224709
11N,Olmesartan Medoxomil,0205052B0,8186,224699
11X,Linagliptin,0601023AE,7135,224699
02E,Ranolazine,0206030Z0,3620,224695
10Q,Orlistat,0405010P0,2540,224617
08A,Risperidone,040201030,7527,224610
11M,Zolpidem Tartrate,0401010Y0,10574,224540
08Y,Linagliptin,0601023AE,10530,224524
10A,Glimepiride,0601021A0,4381,224449
99M,Donepezil Hydrochloride,0411000D0,9316,224426
08E,Olanzapine,040201060,7512,224386
00T,Trazodone Hydrochloride,0403010X0,6798,224383
08T,Co-Beneldopa (Benserazide/Levodopa),0409010K0,2724,224376
03Q,Ursodeoxycholic Acid,0109010U0,2308,224331
03T,Paroxetine Hydrochloride,0403030P0,7286,224324
05W,Balsalazide Sodium,0105010D0,1127,224311
10X,Escitalopram,0403030X0,5841,224261
10R,Nifedipine,0206020R0,4231,224179
15C,Domperidone,0406000J0,3909,224175
15F,Levodopa/Carbidopa/Entacapone,0409010X0,2845,224167
08L,Linagliptin,0601023AE,5635,224159
14L,Pantoprazole,0103050R0,5846,224152
10J,Esomeprazole,0103050E0,5488,224023
15E,Hydralazine Hydrochloride,0205010J0,2989,224000
02R,Donepezil Hydrochloride,0411000D0,12955,223961
11M,Pioglitazone Hydrochloride,0601023B0,7574,223933
04F,Duloxetine Hydrochloride,0403040Y0,6956,223931
10R,Nortriptyline,0403010V0,3025,223930
04C,Lercanidipine Hydrochloride,0206020L0,6575,223834
05Y,Verapamil Hydrochloride,0206020T0,3671,223778
01H,Nefopam Hydrochloride,0407010P0,2238,223763
12F,Estradiol,0604011G0,2557,223707
02H,Memantine Hydrochloride,0411000G0,7364,223654
01X,Lorazepam,0401020P0,7153,223641
07V,Ticagrelor,0209000Z0,4089,223582
05Y,Procyclidine Hydrochloride,0409020S0,5884,223518
09N,Pravastatin Sodium,0212000X0,5476,223449
04N,Olmesartan Medoxomil,0205052B0,8099,223422
06T,Empagliflozin,0601023AN,8209,223405
05A,Hydrocortisone,0603020J0,3168,223315
05X,Esomeprazole,0103050E0,4378,223211
01D,Orlistat,0405010P0,2562,223162
05H,Spironolactone,0202030S0,8160,223161
99K,Felodipine,0206020F0,6049,223084
11M,Clomipramine Hydrochloride,0403010F0,4603,222972
09P,Topiramate,040801050,3423,222954
00N,Estradiol with Progestogen,0604011L0,2036,222944
00X,Co-Careldopa (Carbidopa/Levodopa),0409010N0,2294,222891
00Q,Spironolactone,0202030S0,7284,222853
09P,Nifedipine,0206020R0,4848,222853
08R,Olanzapine,040201060,10209,222811
01G,Alogliptin,0601023AK,9080,222807
06N,Metoclopramide Hydrochloride,0406000P0,4412,222800
99H,Lorazepam,0401020P0,7263,222780
15C,Sacubitril/Valsartan,0205052AE,4366,222716
07M,Temazepam,0401010T0,7816,222700
07L,Docusate Sodium,0106020I0,4624,222674
02X,Ropinirole Hydrochloride,0409010H0,4799,222672
09C,Sulfasalazine,0105010E0,1583,222672
09H,Mebeverine Hydrochloride,0102000P0,3026,222615
07H,Methylphenidate Hydrochloride,0404000M0,6006,222591
07R,Sulfasalazine,0105010E0,1372,222524
08E,Nicorandil,0206030N0,4303,222520
11M,Valproic Acid,0402030Q0,5712,222491
01W,Flecainide Acetate,0203020I0,3205,222491
00N,Cyclizine Hydrochloride,0406000F0,4732,222486
00D,Bumetanide,0202020D0,6787,222408
03W,Lorazepam,0401020P0,7740,222315
09X,Linagliptin,0601023AE,5406,222294
02G,Levetiracetam,0408010A0,3380,222230
00M,Ticagrelor,0209000Z0,4374,222164
03T,Nefopam Hydrochloride,0407010P0,2569,222147
02X,Empagliflozin,0601023AN,8019,222143
04N,Sulfasalazine,0105010E0,1674,222118
99N,Ursodeoxycholic Acid,0109010U0,2051,222109
07K,Nortriptyline,0403010V0,3724,222069
05H,Clonidine Hydrochloride,0407042F0,1969,222046
15D,Carbimazole,0602020D0,4101,222028
10J,Escitalopram,0403030X0,6720,222023
10V,Escitalopram,0403030X0,5345,221991
09H,Zopiclone,0401010Z0,11704,221913
14Y,Ursodeoxycholic Acid,0109010U0,1732,221911
01A,Alverine Citrate,0102000A0,2696,221909
02W,Bisacodyl,0106020C0,4542,221903
04F,Co-Careldopa (Carbidopa/Levodopa),0409010N0,2145,221879
99A,Norethisterone,0604012P0,4198,221860
07Q,Dihydrocodeine Tartrate,0407020G0,2469,221835
99J,Orlistat,0405010P0,2651,221814
08G,Prochlorperazine Maleate,0406000T0,5554,221804
09Y,Paroxetine Hydrochloride,0403030P0,4790,221768
01H,Methylphenidate Hydrochloride,0404000M0,5908,221757
06V,Peppermint Oil,0102000T0,2653,221735
08Q,Perindopril Erbumine,0205051M0,7163,221673
09J,Docusate Sodium,0106020I0,4409,221663
07G,Duloxetine Hydrochloride,0403040Y0,7006,221660
15N,Dutasteride,0604020B0,6854,221628
03K,Esomeprazole,0103050E0,6586,221550
08K,Esomeprazole,0103050E0,4690,221544
06F,Lithium Carbonate,0402030K0,5691,221488
06T,Donepezil Hydrochloride,0411000D0,8895,221465
15E,Zonisamide,0408010AD,2580,221446
99M,Nifedipine,0206020R0,3554,221358
07J,Carvedilol,020400080,4453,221339
06H,Dipyridamole,0209000L0,3404,221335
04L,Estradiol with Progestogen,0604011L0,2365,221292
06L,Ticagrelor,0209000Z0,3765,221255
01A,Rosuvastatin Calcium,0212000AA,7207,221244
03W,Alendronic Acid,0606020A0,47075,221233
10L,Prochlorperazine Maleate,0406000T0,5195,221179
06T,Zolpidem Tartrate,0401010Y0,10364,221166
06N,Trazodone Hydrochloride,0403010X0,6557,221149
08D,Orlistat,0405010P0,2210,221146
06K,Metoclopramide Hydrochloride,0406000P0,4571,221079
14Y,Aripiprazole,0402010AD,7345,221075
06N,Procyclidine Hydrochloride,0409020S0,7560,221043
11M,Dabigatran Etexilate,0208020X0,3702,221042
03A,Ezetimibe,0212000L0,7028,221041
08V,Aripiprazole,0402010AD,12286,221037
10D,Melatonin,0401010AD,3701,220990
08W,Ezetimibe,0212000L0,5484,220973
08A,Topiramate,040801050,2690,220935
10R,Nebivolol,0204000AB,6358,220933
09J,Pantoprazole,0103050R0,5640,220854
03W,Methylphenidate Hydrochloride,0404000M0,5935,220840
05A,Carvedilol,020400080,4178,220830
09H,Enalapril Maleate,0205051I0,4634,220827
12F,Ticagrelor,0209000Z0,3859,220815
02N,Nicorandil,0206030N0,4172,220780
09X,Nicorandil,0206030N0,2688,220710
06K,Dabigatran Etexilate,0208020X0,4301,220684
01D,Bisacodyl,0106020C0,3989,220678
10C,Sodium Valproate,0408010W0,2346,220666
99K,Nicorandil,0206030N0,3836,220660
07M,Carbimazole,0602020D0,4247,220649
02Q,Quetiapine,0402010AB,5816,220638
07J,Methylphenidate Hydrochloride,0404000M0,6467,220575
02Q,Esomeprazole,0103050E0,5647,220560
15E,Sacubitril/Valsartan,0205052AE,3506,220463
08Q,Esomeprazole,0103050E0,5331,220351
15A,Tranexamic Acid,0211000P0,3418,220348
00M,Irbesartan,0205052I0,6654,220346
06H,Alginic Acid Compound Preparations,0101021B0,2792,220346
01H,Cinnarizine,0406000D0,2592,220335
08M,Rosuvastatin Calcium,0212000AA,8578,220322
07V,Tranexamic Acid,0211000P0,3308,220306
00M,Naftidrofuryl Oxalate,0206040AE,2525,220272
02D,Felodipine,0206020F0,7916,220264
09G,Verapamil Hydrochloride,0206020T0,3410,220238
02F,Enalapril Maleate,0205051I0,4902,220193
99E,Metoclopramide Hydrochloride,0406000P0,3773,220142
00L,Imipramine Hydrochloride,0403010N0,2995,220073
00J,Melatonin,0401010AD,5391,220068
10A,Phenytoin Sodium,0408010Q0,2805,220034
08N,Estradiol with Progestogen,0604011L0,2511,219992
07G,Dosulepin Hydrochloride,0403010J0,4339,219980
02T,Peppermint Oil,0102000T0,2956,219962
07R,Morphine Sulfate,0407020Q0,3642,219911
05D,Pravastatin Sodium,0212000X0,6897,219873
15F,Ivabradine,0206030Y0,5356,219836
01R,Paroxetine Hydrochloride,0403030P0,5840,219831
08A,Spironolactone,0202030S0,8467,219790
10X,Procyclidine Hydrochloride,0409020S0,5624,219767
03K,Glimepiride,0601021A0,7149,219659
06N,Alginic Acid Compound Preparations,0101021B0,2475,219608
03A,Sulfasalazine,0105010E0,1876,219594
05L,Glimepiride,0601021A0,4855,219524
03H,Ezetimibe,0212000L0,7898,219509
00M,Phenytoin Sodium,0408010Q0,3730,219488
05N,Olanzapine,040201060,7263,219456
03W,Risperidone,040201030,6391,219453
06T,Domperidone,0406000J0,3444,219452
06N,Bezafibrate,0212000D0,5489,219447
14Y,Lorazepam,0401020P0,7668,219438
06M,Cinnarizine,0406000D0,2290,219434
02D,Diazepam,0401020K0,8108,219432
07M,Lithium Carbonate,0402030K0,5308,219426
06Y,Ropinirole Hydrochloride,0409010H0,4905,219418
01X,Peppermint Oil,0102000T0,2571,219392
00J,Clonidine Hydrochloride,0407042F0,2425,219376
08W,Metoprolol Tartrate,0204000K0,4246,219358
10V,Topiramate,040801050,2538,219336
15C,Colesevelam Hydrochloride,0212000AD,1810,219260
06F,Estradiol,0604011G0,2592,219232
02X,Ticagrelor,0209000Z0,3996,219230
